Time,User,Page,Data
2022-08-25 05:41:01.954985,Raze,DeviceDetails,"{'ID': 'E79028H1N561157', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-08-25 05:58:26.875444,Raze,CartStorage,"{'cart': 'TN-325Y', 'num': '2'}"
2022-08-25 05:58:31.662908,Raze,CartStorage,"{'cart': 'TN-325M', 'num': '3'}"
2022-08-25 05:58:37.903387,Raze,CartStorage,"{'cart': 'TN-325C', 'num': '1'}"
2022-08-25 05:58:42.254618,Raze,CartStorage,"{'cart': 'TN-326M', 'num': '-2'}"
2022-08-25 05:58:45.919370,Raze,CartStorage,"{'cart': 'TN-326BK', 'num': '-1'}"
2022-08-25 05:58:49.775173,Raze,CartStorage,"{'cart': 'TN-325M', 'num': '-1'}"
2022-08-25 05:58:55.670850,Raze,CartStorage,"{'cart': 'TN-325BK', 'num': '-1'}"
2022-08-25 05:58:59.302233,Raze,CartStorage,"{'cart': 'TN-247Y', 'num': '1'}"
2022-08-25 05:59:03.782225,Raze,CartStorage,"{'cart': 'TN-247C', 'num': '2'}"
2022-08-25 06:00:21.049326,Raze,CartStorage,"{'cart': 'TN-247BK', 'num': '-1'}"
2022-08-25 06:00:29.278129,Raze,CartStorage,"{'cart': 'TN-246Y', 'num': '4'}"
2022-08-25 06:00:32.525584,Raze,CartStorage,"{'cart': 'TN-246C', 'num': '5'}"
2022-08-25 06:00:36.141661,Raze,CartStorage,"{'cart': 'TN-246M', 'num': '4'}"
2022-08-25 06:00:39.060297,Raze,CartStorage,"{'cart': 'TN-242BK', 'num': '7'}"
2022-08-25 06:00:48.693167,Raze,CartStorage,"{'cart': 'TN-241BK', 'num': '-3'}"
2022-08-25 06:00:51.742476,Raze,CartStorage,"{'cart': 'TK-8515C', 'num': '2'}"
2022-08-25 06:00:54.693574,Raze,CartStorage,"{'cart': 'TK-8305M', 'num': '2'}"
2022-08-25 06:00:57.140943,Raze,CartStorage,"{'cart': 'TK-8305C', 'num': '1'}"
2022-08-25 06:00:59.579733,Raze,CartStorage,"{'cart': 'TK-6325', 'num': '2'}"
2022-08-25 06:01:02.116442,Raze,CartStorage,"{'cart': 'TK-5280YS', 'num': '1'}"
2022-08-25 06:01:06.245375,Raze,CartStorage,"{'cart': 'TK-5280Y', 'num': '-2'}"
2022-08-25 06:01:09.508384,Raze,CartStorage,"{'cart': 'TK-5280M', 'num': '-2'}"
2022-08-25 06:01:13.154476,Raze,CartStorage,"{'cart': 'TK-5280K', 'num': '-3'}"
2022-08-25 06:01:16.812624,Raze,CartStorage,"{'cart': 'TK-5280C', 'num': '-'}"
2022-08-25 06:01:26.906479,Raze,CartStorage,"{'cart': 'TK-5280C', 'num': '-1'}"
2022-08-25 06:01:32.963297,Raze,CartStorage,"{'cart': 'TK-3190', 'num': '3'}"
2022-08-25 06:01:37.259137,Raze,CartStorage,"{'cart': 'TK-170', 'num': '-2'}"
2022-08-25 06:01:41.035615,Raze,CartStorage,"{'cart': 'TK-130', 'num': '-4'}"
2022-08-25 06:01:51.107462,Raze,CartStorage,"{'cart': 'TK-130', 'num': '-4'}"
2022-08-25 06:08:33.243159,Raze,CartStorage,"{'cart': 'TK-130', 'num': '-4'}"
2022-09-01 11:05:03.106067,Raze,CartStorage,"{'cart': 'TN-242BK', 'num': '2'}"
2022-09-01 11:05:13.305704,Raze,CartStorage,"{'cart': 'TN-242BK', 'num': '2'}"
2022-09-09 08:51:55.762836,Raze,DeviceDetails,"{'ID': 'E79028J1N591625', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-09-09 08:58:20.261068,Raze,DeviceDetails,"{'ID': 'E74552K5J157940', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-09-12 11:39:22.384091,Raze,DeviceDetails,"{'ID': 'NaN', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-09-13 06:09:43.231362,Raze,DeviceManager,{'add_ip': '172.20.10.70'}
2022-09-13 06:09:56.387645,Raze,DeviceManager,{'add_ip': '172.20.10.78'}
2022-10-04 07:23:39.726524,Raze,DeviceDetails,"{'ID': 'W2J8718286', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-10-04 07:34:54.926689,Raze,DeviceDetails,"{'ID': 'R4Q8X09105', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
